k,state,Q_total,n_modules,module_pvalues,n_sig_fdr_0.05,n_sig_fdr_0.01,n_sig_bonf_0.05
12,8,0.6453565253266227,7,"[1.99980002e-04 9.99900010e-05 2.02579742e-01 9.99900010e-05
 9.99900010e-05 2.99970003e-04 3.29967003e-03]",6,6,6
12,1,0.6290630703754769,7,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 9.99900010e-05 1.43885611e-01 9.99900010e-05]",6,6,6
12,4,0.6375519823831887,7,"[9.99900010e-05 9.99900010e-05 2.63973603e-02 9.99900010e-05
 1.79982002e-03 9.99900010e-05 9.99900010e-05]",7,6,6
12,10,0.6305535431399723,5,[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05],5,5,5
12,7,0.6589637336459272,6,"[9.99900010e-05 9.99900010e-05 3.45965403e-02 9.99900010e-05
 9.99900010e-05 7.06929307e-02]",5,4,4
12,2,0.6595838948858035,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 9.99900010e-05 4.99950005e-04]",6,6,6
12,5,0.6163098609454511,5,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 1.99980002e-04]",5,5,5
12,0,0.6118976116294256,7,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 5.89941006e-03
 9.99900010e-05 5.99940006e-04 4.81351865e-01]",6,6,6
12,9,0.639995464589201,7,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 1.99980002e-04
 9.99900010e-05 9.99900010e-05 9.99900010e-05]",7,7,7
12,3,0.6441343523079107,6,"[9.99900010e-05 9.99900010e-05 9.99900010e-05 9.99900010e-05
 2.99970003e-04 7.47925207e-02]",5,5,5
12,11,0.6415930537406132,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
12,6,0.616668393588085,7,"[9.99900010e-05 9.99900010e-05 2.89971003e-03 9.99900010e-05
 9.99900010e-05 1.99980002e-04 9.99900010e-05]",7,7,7
8,4,0.645546400052106,6,"[9.99900010e-05 9.99900010e-05 1.80681932e-01 9.99900010e-05
 9.99900010e-05 1.19988001e-03]",5,5,5
8,1,0.6604473115485305,6,"[9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05 9.9990001e-05
 9.9990001e-05]",6,6,6
8,2,0.5819313742974226,6,"[1.49985001e-03 9.99900010e-05 9.99900010e-05 9.99900010e-05
 9.47905209e-02 9.99900010e-04]",5,5,5
